./download/her4.txtEGFRINdb ID	ErbB4-IC50	PMID	Journal	Vol & Page	Smiles
EGIN0000208	0.0023 µM 	18667312	Bioorg Med Chem Lett.	2008 November 15; 18(22): 5916–5919	c12c(ccc(c1)NC(=O)C=C)ncnc2Nc1cc(ccc1)Br
EGIN0000006	0.014 µM  	18667312	Bioorg Med Chem Lett.	2008 November 15; 18(22): 5916–5919	c12c(cc(c(c1)NC(=O)C=C)OCCCN1CCOCC1)ncnc2Nc1cc(c(cc1)F)Cl
EGIN0004795	0.02 µM	11378364	Bioorganic & Medicinal Chemistry Letters	11 (2001) 1401–1405	c1c(ncc2c1c(ncn2)Nc1ccc2n(ncc2c1)Cc1ccccc1)N(C)C
EGIN0000001	0.0266 ± 0.0016 µM	21306821	Cancer Letters	302 (2011) 155–165	CN(C)C/C=C/C(=O)Nc1c(cc2c(c1)c(ncn2)Nc1cc(c(cc1)F)Cl)O[C@H]1CCOC1
EGIN0004275	<0.1 µM	19888761	J. Med. Chem	2009, 52, 6880–6888	c1(c(cc2c(c1)c(ncn2)Nc1c(c(ccc1)Cl)F)OCCOC)NC(=O)[C@@H]1CCCN1C(=O)C=C
EGIN0004276	<0.1 µM	19888761	J. Med. Chem	2009, 52, 6880–6888	c1(c(cc2c(c1)c(ncn2)Nc1c(c(c(cc1)F)Cl)F)OCCOC)NC(=O)[C@@H]1CCCN1C(=O)C=C
EGIN0000303	0.5 nM   	16480284	J Med Chem	2006 Feb 23;49(4):1475-85.	c12c(cnc(c1)NC(=O)C#CC)ncnc2Nc1cc(c(cc1)F)Cl
EGIN0000314	0.8 nM   	16480284	J Med Chem	2006 Feb 23;49(4):1475-85.	N1(CCN(CC1)C)CCC#CC(=O)Nc1cc2c(cn1)ncnc2Nc1ccc(c(c1)Br)F
EGIN0004913	0.86 ± 0.3nM	21789172	PLoS One.	2011;6(7):e21487	c12cc(ccc1ncnc2Nc1cc(c(cc1)OCc1cc(ccc1)F)Cl)NC(=O)C=C
EGIN0000001	1 nM	22888144	J Pharmacol Exp Ther	 2012 Aug 10. 	CN(C)C/C=C/C(=O)Nc1c(cc2c(c1)c(ncn2)Nc1cc(c(cc1)F)Cl)O[C@H]1CCOC1
EGIN0000006	1 nM	22888144	J Pharmacol Exp Ther	 2012 Aug 10. 	c12c(cc(c(c1)NC(=O)C=C)OCCCN1CCOCC1)ncnc2Nc1cc(c(cc1)F)Cl
EGIN0000310	1.0 nM   	16480284	J Med Chem	2006 Feb 23;49(4):1475-85.	N1(CCOCC1)CCC#CC(=O)Nc1cc2c(cn1)ncnc2Nc1ccc(c(c1)Cl)F
EGIN0000311	1.0 nM   	16480284	J Med Chem	2006 Feb 23;49(4):1475-85.	N1(CCOCC1)CCC#CC(=O)Nc1cc2c(cn1)ncnc2Nc1ccc(c(c1)Br)F
EGIN0000313	1.2 nM   	16480284	J Med Chem	2006 Feb 23;49(4):1475-85.	N1(CCN(CC1)C)CCC#CC(=O)Nc1cc2c(cn1)ncnc2Nc1ccc(c(c1)Cl)F
EGIN0000293	1.7 nM   	16480284	J Med Chem	2006 Feb 23;49(4):1475-85.	c1(cc(Nc2c3cc(NC(=O)C#C)ccc3ncn2)ccc1)Br
EGIN0000312	1.8 nM   	16480284	J Med Chem	2006 Feb 23;49(4):1475-85.	N1(CCCCC1)CCC#CC(=O)Nc1cc2c(cn1)ncnc2Nc1ccc(c(c1)Cl)F
EGIN0000005	>10 µM	21306821	Cancer Letters	302 (2011) 155–165	COc1c(cc2c(c1)ncnc2Nc1cc(c(cc1)F)Cl)OCCCN1CCOCC1
EGIN0004058	>100 nM   	16279804	J. Med. Chem	2005, 48, 7445-7456	c1(c(cc2c(c1)c(ncn2)NCc1ccc(cc1)F)OCC)OCC
